chain_symbol,expiration_date,strike_price,option_type,side,order_created_at,direction,order_quantity,order_type,opening_strategy,closing_strategy,price,processed_quantity
FB,2022-02-04,355.0000,call,sell,2022-02-02T16:09:47.237072Z,credit,1.00000,limit,,long_call,0.87000000,1.00000
FB,2022-02-04,355.0000,call,buy,2022-02-02T15:28:14.122583Z,debit,1.00000,limit,long_call,,1.12000000,1.00000
AMD,2022-02-04,140.0000,call,sell,2022-02-02T14:30:40.390361Z,credit,1.00000,limit,,long_call,0.47000000,1.00000
AMD,2022-02-04,140.0000,call,buy,2022-02-01T17:49:14.225601Z,debit,1.00000,limit,long_call,,0.23000000,1.00000
FB,2022-02-04,355.0000,call,sell,2022-02-01T17:30:38.320950Z,credit,1.00000,limit,,long_call,0.21000000,1.00000
FB,2022-02-04,355.0000,call,buy,2022-01-31T15:17:55.206982Z,debit,1.00000,limit,long_call,,0.13000000,1.00000
SPY,2022-01-28,410.0000,put,buy,2022-01-26T19:37:27.721103Z,debit,1.00000,limit,long_put,,0.30000000,1.00000
SPY,2022-01-28,470.0000,call,sell,2022-01-26T19:35:07.648055Z,credit,3.00000,limit,,long_call,0.02000000,3.00000
SPY,2022-02-09,365.0000,put,sell,2022-01-26T19:02:40.221092Z,credit,1.00000,limit,,long_put,0.37000000,1.00000
SPY,2022-01-28,470.0000,call,buy,2022-01-26T15:19:06.251074Z,debit,3.00000,limit,long_call,,0.04000000,3.00000
SPY,2022-02-09,365.0000,put,buy,2022-01-25T14:56:17.605652Z,debit,1.00000,limit,long_put,,1.37000000,1.00000
MU,2022-01-28,87.0000,call,sell,2022-01-25T14:46:46.327440Z,credit,1.00000,limit,,long_call,0.42000000,1.00000
AMD,2022-01-28,122.0000,call,sell,2022-01-25T14:45:31.339645Z,credit,1.00000,limit,,long_call,1.00000000,1.00000
MU,2022-01-28,87.0000,call,buy,2022-01-24T15:57:30.575575Z,debit,1.00000,limit,long_call,,0.56000000,1.00000
