chain_symbol,expiration_date,strike_price,option_type,side,order_created_at,direction,order_quantity,order_type,opening_strategy,closing_strategy,price,processed_quantity
DKNG,2020-06-12,38.0000,put,buy,2020-06-05T19:15:22.905284Z,debit,2.00000,limit,long_put,,1.40000000,2.00000
BA,2020-06-19,250.0000,call,sell,2020-06-03T13:34:10.891470Z,credit,1.00000,limit,,long_call,0.01000000,1.00000
BA,2020-06-26,200.0000,call,sell,2020-06-03T13:31:11.221267Z,credit,5.00000,limit,,long_call,0.67000000,5.00000
BA,2020-06-12,160.0000,call,sell,2020-06-02T19:49:14.093978Z,credit,1.00000,limit,,long_call,2.79000000,1.00000
BA,2020-06-26,200.0000,call,buy,2020-06-02T15:17:29.389384Z,debit,5.00000,limit,long_call,,0.59000000,5.00000
BA,2020-06-12,160.0000,call,buy,2020-06-02T13:42:09.878593Z,debit,1.00000,limit,long_call,,4.15000000,1.00000
AMD,2020-06-19,60.0000,call,sell,2020-06-02T13:35:29.182130Z,credit,1.00000,limit,,long_call,0.32000000,1.00000
BA,2020-06-19,250.0000,call,buy,2020-06-01T17:10:43.747010Z,debit,1.00000,limit,long_call,,0.08000000,1.00000
AMD,2020-06-19,60.0000,call,buy,2020-06-01T16:19:41.095274Z,debit,1.00000,limit,long_call,,0.40000000,1.00000
SPY,2020-06-01,297.0000,put,sell,2020-05-29T17:22:06.216060Z,credit,1.00000,limit,,long_put,0.94000000,1.00000
SPY,2020-06-01,297.0000,put,buy,2020-05-29T17:13:03.675991Z,debit,1.00000,limit,long_put,,0.91000000,1.00000
AMD,2020-06-12,63.0000,call,sell,2020-05-28T19:55:48.585789Z,credit,5.00000,limit,,long_call,0.06000000,5.00000
AMD,2020-06-12,63.0000,call,buy,2020-05-27T15:07:43.571419Z,debit,1.00000,limit,long_call,,0.05000000,1.00000
AMD,2020-05-29,60.0000,call,sell,2020-05-27T15:06:22.931355Z,credit,2.00000,limit,,long_call,0.01000000,2.00000
AMD,2020-06-12,63.0000,call,buy,2020-05-27T14:43:02.565813Z,debit,1.00000,limit,long_call,,0.05000000,1.00000
AMD,2020-05-29,60.0000,call,buy,2020-05-26T14:09:46.543830Z,debit,2.00000,limit,long_call,,0.07000000,2.00000
AMD,2020-06-12,63.0000,call,buy,2020-05-26T14:07:40.122275Z,debit,3.00000,limit,long_call,,0.23000000,3.00000
AMD,2020-05-29,60.0000,call,sell,2020-05-21T17:12:43.302891Z,credit,1.00000,limit,,long_call,0.30000000,1.00000
AMD,2020-05-29,60.0000,call,buy,2020-05-21T14:02:48.023150Z,debit,1.00000,limit,long_call,,0.39000000,1.00000
AMD,2019-12-06,35.0000,put,sell,2019-11-27T15:22:44.738959Z,credit,2.00000,limit,,long_put,0.04000000,2.00000
TSLA,2019-11-29,360.0000,call,sell,2019-11-25T14:35:31.496221Z,credit,1.00000,limit,,long_call,0.88000000,1.00000
AMD,2019-12-06,35.0000,put,buy,2019-11-22T20:27:49.791416Z,debit,2.00000,limit,long_put,,0.15000000,2.00000
TSLA,2019-11-29,360.0000,call,buy,2019-11-22T14:36:55.903396Z,debit,1.00000,limit,long_call,,1.20000000,1.00000
ROKU,2019-12-06,200.0000,call,sell,2019-11-20T15:44:48.832379Z,credit,1.00000,limit,,long_call,1.16000000,1.00000
ROKU,2019-12-06,200.0000,call,buy,2019-11-18T15:34:42.693597Z,debit,1.00000,limit,long_call,,1.33000000,1.00000
SPY,2019-12-31,290.0000,put,sell,2019-11-12T14:38:36.694136Z,credit,1.00000,limit,,long_put,1.48000000,1.00000
SPY,2019-12-31,290.0000,put,buy,2019-11-08T15:14:23.187494Z,debit,1.00000,limit,long_put,,1.86000000,1.00000
FB,2019-07-12,200.0000,call,sell,2019-07-09T16:54:22.838521Z,credit,1.00000,limit,,long_call,1.26000000,1.00000
FB,2019-07-12,200.0000,call,buy,2019-07-09T16:45:28.556547Z,debit,1.00000,limit,long_call,,1.35000000,1.00000
